game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_ToP,Winner
game_2023_94,TUC,ALB,1,3,2.52,2,13,15,0.53,ALB
game_2023_341,MOB,ALB,3,1,0.46,0.99,11,8,0.56,MOB
game_2023_442,CHM,ALB,0,1,1.62,1.16,16,13,0.52,ALB
game_2023_50,SAS,ALB,2,1,1.53,0.55,20,2,0.49,SAS
game_2023_389,FOR,ALB,0,2,2.15,1.13,18,13,0.71,ALB
game_2023_27,FAR,ALB,3,2,2.26,1.16,17,10,0.69,FAR
game_2023_187,PRO,ALB,4,1,2.59,2.23,21,16,0.52,PRO
game_2023_366,TAC,ALB,3,3,0.36,1.21,6,7,0.56,ALB
game_2023_258,REN,ALB,0,1,0.8,0.8,22,6,0.57,ALB
game_2023_470,BOI,ALB,0,3,1.37,0.97,15,21,0.48,ALB
game_2023_162,WIC,ALB,2,2,1.36,2.24,22,23,0.6,ALB
game_2023_241,OAK,ALB,2,2,1.6,1.43,12,19,0.47,ALB
game_2023_308,BAK,ALB,3,3,1.53,1.18,11,13,0.48,ALB
game_2023_204,SFS,ALB,2,0,1.52,0.53,12,10,0.54,SFS
game_2023_134,SPR,ALB,7,2,0.92,1.28,11,14,0.5,SPR
game_2023_120,ANC,ALB,3,2,3.27,1.48,28,13,0.52,ANC
game_2023_80,EUG,ALB,1,1,0.83,1.48,12,16,0.5,ALB
game_2023_289,REN,ANC,0,0,0.55,0.13,3,18,0.54,ANC
game_2023_313,SPR,ANC,3,2,1.6,0.67,19,7,0.49,SPR
game_2023_156,TAC,ANC,4,0,1.34,0.94,13,10,0.4,TAC
game_2023_349,EUG,ANC,2,5,1.56,1.09,12,9,0.42,ANC
game_2023_253,BOI,ANC,1,2,1.33,1.18,16,18,0.51,ANC
game_2023_75,SAS,ANC,1,2,2.49,0.82,25,11,0.35,ANC
game_2023_42,TUC,ANC,2,0,1.67,0.95,14,16,0.58,TUC
game_2023_87,BAK,ANC,2,2,2.59,1.09,19,19,0.51,ANC
game_2023_208,AUG,ANC,2,3,0.72,1.26,12,10,0.66,ANC
game_2023_464,FOR,ANC,0,2,2.14,1.31,11,10,0.58,ANC
game_2023_383,OAK,ANC,0,7,1.43,1.66,21,10,0.43,ANC
game_2023_398,SJU,ANC,0,0,0.46,0.56,7,2,0.53,ANC
game_2023_4,FAR,ANC,0,1,2.27,1.08,4,14,0.51,ANC
game_2023_370,DOV,ANC,5,0,2.31,0.3,17,6,0.59,DOV
